"national_id","citizenship","firstname","middlename","lastname","alias","birthplace","birthdate","age","civilstatus","gender","purok","voterstatus","phone","email","occupation","employer_name","pwd","address","sss_no","tin_no","precinct","gsis_no","pagibig_no","philhealth_no"
"1234","Filipino","Rodney","Oliva","Austria","Cha","Balagtas","2002-11-24","21","Single","Male","Kalye Buntisan","Yes","09217167659","mrtangkad59@gmail.com","Programmer","","No","373
Catindig","456","789","Pag-asa-001","532233","6969","444"
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","373
Catindig","","","","","",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","373
Catindig","","","","","",""
"1234","Filipino","Rodney","Oliva","Austria","Cha","Balagtas","2002-11-24","21","Single","Male","Kalye Buntisan","Yes","09217167659","mrtangkad59@gmail.com","Programmer","","No","456","Pag-asa-001","532233","","6969","444",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
"1234","Filipino","Rodney","Oliva","Austria","Cha","Balagtas","2002-11-24","21","Single","Male","Kalye Buntisan","Yes","09217167659","mrtangkad59@gmail.com","Programmer","","No","456","Pag-asa-001","532233","","6969","444",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
"1234","Filipino","Rodney","Oliva","Austria","Cha","Balagtas","2002-11-24","21","Single","Male","Kalye Buntisan","Yes","09217167659","mrtangkad59@gmail.com","Programmer","","No","Pag-asa-001","","6969","","444","",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
"","","Richard Riel","Oliva","Austria","","","2024-11-15","0","","","","","","","","","","","","","","","",""
